*;base;defplural;nom;ourakk;ourdat;ourgen;akk
HungarianNobility.King;Крал;Крале;Кралят;нашия Крал;на нашия Крал;на нашия Крал;Краля
WallachianNobility.King;Велик княз;Велики князе;Великият княз;нашия Велик княз;на нашия Велик княз;на нашия Велик княз;Великия княз
BalticNobility.King;Велик херцог;Велики херцози;Великият херцог;нашия Велик херцог;на нашия Велик херцог;на нашия Велик херцог;Великия херцог
OutlawNobility.King;Бунтовник;Бунтовници;Бунтовникът;нашия Бунтовник;на нашия Бунтовник;на нашия Бунтовник;Бунтовника
WelshNobility.King;Крал;Крале;Кралят;нашия Крал;на нашия Крал;на нашия Крал;Краля
ScotNobility.King;Крал;Крале;Кралят;нашия Крал;на нашия Крал;на нашия Крал;Краля
CatalanNobility.King;Велик княз;Велики князе;Великият княз;нашия Велик княз;на нашия Велик княз;на нашия Велик княз;Великия княз
SwissNobility.King;Ландаман;Ландамани;Ландаманът;нашия Ландаман;на нашия Ландаман;на нашия Ландаман;Ландамана
RepublicNobility.King;Ректор;Ректори;Ректорът;нашия Ректор;на нашия Ректор;на нашия Ректор;Ректора
ZealotNobility.King;Деспот;Деспоти;Деспотът;нашия Деспот;на нашия Деспот;на нашия Деспот;Деспота
CountyNobility.King;Маркиз;Маркизи;Маркизът;нашия Маркиз;на нашия Маркиз;на нашия Маркиз;Маркиза
GermanNobility.King;Крал;Крале;Кралят;нашия Крал;на нашия Крал;на нашия Крал;Краля
FrisianNobility.King;Губернатор;Губернатори;Губернаторът;нашия Губернатор;на нашия Губернатор;на нашия Губернатор;Губернатора
SardinianNobility.King;Юдикат;Юдикати;Юдикатът;нашия Юдикат;на нашия Юдикат;на нашия Юдикат;Юдиката
RomanNobility.King;Цезар;Цезари;Цезарят;нашия Цезар;на нашия Цезар;на нашия Цезар;Цезара
NovgorodianNobility.King;Велик княз;Велики князе;Великият княз;нашия Велик княз;на нашия Велик княз;на нашия Велик княз;Великия княз
PolishNobility.King;Старши херцог;Старши херцози;Старшият херцог;нашия Старши херцог;на нашия Старши херцог;на нашия Старши херцог;Старшия херцог
KanemNobility.King;Крал;Крале;Кралят;нашия Крал;на нашия Крал;на нашия Крал;Краля
CrusaderNobility.King;Крал;Крале;Кралят;нашия Крал;на нашия Крал;на нашия Крал;Краля
KalmarNobility.King;Крал;Крале;Кралят;нашия Крал;на нашия Крал;на нашия Крал;Краля
LatinNobility.King;Император;Императори;Императорът;нашия Император;на нашия Император;на нашия Император;Императора
ExileNobility.King;Изгнаник;Изгнаници;Изгнаникът;нашия Изгнаник;на нашия Изгнаник;на нашия Изгнаник;Изгнаника
NordicNobility.Knight;Рицар;Рицари;Рицарят;нашия Рицар;на нашия Рицар;на нашия Рицар;Рицаря
SlavNobility.Knight;Рицар;Рицари;Рицарят;нашия Рицар;на нашия Рицар;на нашия Рицар;Рицаря
SharifNobility.Knight;Рицар;Рицари;Рицарят;нашия Рицар;на нашия Рицар;на нашия Рицар;Рицаря
BerberNobility.Knight;Рицар;Рицари;Рицарят;нашия Рицар;на нашия Рицар;на нашия Рицар;Рицаря
CaucasianNobility.Knight;Рицар;Рицари;Рицарят;нашия Рицар;на нашия Рицар;на нашия Рицар;Рицаря
BalticNobility.Knight;Рицар;Рицари;Рицарят;нашия Рицар;на нашия Рицар;на нашия Рицар;Рицаря
Nobility.Queen;Кралица;Кралици;Кралицата;нашата Кралица;на нашата Кралица;на нашата Кралица;Кралицата
NordicNobility.Queen;Кралица;Кралици;Кралицата;нашата Кралица;на нашата Кралица;на нашата Кралица;Кралицата
TribalNobility.Queen;Върховна водачка;Върховни водачки;Върховната водачка;нашата Върховна водачка;на нашата Върховна водачка;на нашата Върховна водачка;Върховната водачка
AllNobility.Queen;Кралица;Кралици;Кралицата;нашата Кралица;на нашата Кралица;на нашата Кралица;Кралицата
RussNobility.Queen;Велика княгиня;Велики княгини;Великата княгиня;нашата Велика княгиня;на нашата Велика княгиня;на нашата Велика княгиня;Великата княгиня
SteppeNobility.Queen;Хатун;Хатуни;Хатуната;нашата Хатун;на нашата Хатун;на нашата Хатун;Хатуната
TurkNobility.Queen;Султанка;Султанки;Султанката;нашата Султанка;на нашата Султанка;на нашата Султанка;Султанката
GreekNobility.Queen;Кралица;Кралици;Кралицата;нашата Кралица;на нашата Кралица;на нашата Кралица;Кралицата
ArabNobility.Queen;Малика;Малики;Маликата;нашата Малика;на нашата Малика;на нашата Малика;Маликата
IranicNobility.Queen;Шахбану;Шахбани;Шахбануто;нашето Шахбану;на нашето Шахбану;на нашето Шахбану;Шахбануто
SlavNobility.Queen;Кралица;Кралици;Кралицата;нашата Кралица;на нашата Кралица;на нашата Кралица;Кралицата
ItalianNobility.Queen;Кралица;Кралици;Кралицата;нашата Кралица;на нашата Кралица;на нашата Кралица;Кралицата
GenoeseNobility.Queen;Кралица;Кралици;Кралицата;нашата Кралица;на нашата Кралица;на нашата Кралица;Кралицата
AfricanNobility.Queen;Кралица;Кралици;Кралицата;нашата Кралица;на нашата Кралица;на нашата Кралица;Кралицата
BritNobility.Queen;Кралица;Кралици;Кралицата;нашата Кралица;на нашата Кралица;на нашата Кралица;Кралицата
OrderNobility.Queen;Дама;Дами;Дамата;нашата Дама;на нашата Дама;на нашата Дама;Дамата
BulgarianNobility.Queen;Царица;Царици;Царицата;нашата Царица;на нашата Царица;на нашата Царица;Царицата
SharifNobility.Queen;Хатун;Хатуни;Хатуната;нашата Хатун;на нашата Хатун;на нашата Хатун;Хатуната
BerberNobility.Queen;Емира;Емири;Емирата;нашата Емира;на нашата Емира;на нашата Емира;Емирата
NormanNobility.Queen;Княгиня;Княгини;Княгинята;нашата Княгиня;на нашата Княгиня;на нашата Княгиня;Княгинята
CaucasianNobility.Queen;Кралица;Кралици;Кралицата;нашата Кралица;на нашата Кралица;на нашата Кралица;Кралицата
HungarianNobility.Queen;Кралица;Кралици;Кралицата;нашата Кралица;на нашата Кралица;на нашата Кралица;Кралицата
WallachianNobility.Queen;Велика княгиня;Велики княгини;Великата княгиня;нашата Велика княгиня;на нашата Велика княгиня;на нашата Велика княгиня;Великата княгиня
BalticNobility.Queen;Велика херцогиня;Велики херцогини;Великата херцогиня;нашата Велика херцогиня;на нашата Велика херцогиня;на нашата Велика херцогиня;Великата херцогиня
OutlawNobility.Queen;Бунтовничка;Бунтовнички;Бунтовничката;нашата Бунтовничка;на нашата Бунтовничка;на нашата Бунтовничка;Бунтовничката
WelshNobility.Queen;Кралица;Кралици;Кралицата;нашата Кралица;на нашата Кралица;на нашата Кралица;Кралицата
ScotNobility.Queen;Кралица;Кралици;Кралицата;нашата Кралица;на нашата Кралица;на нашата Кралица;Кралицата
CatalanNobility.Queen;Велика княгиня;Велики княгини;Великата княгиня;нашата Велика княгиня;на нашата Велика княгиня;на нашата Велика княгиня;Великата княгиня
SwissNobility.Queen;Лейди;Лейди;Лейдито;нашето Лейди;на нашето Лейди;на нашето Лейди;Лейдито
RepublicNobility.Queen;Лейди;Лейди;Лейдито;нашето Лейди;на нашето Лейди;на нашето Лейди;Лейдито
ZealotNobility.Queen;Деспотица;Деспотици;Деспотицата;нашата Деспотица;на нашата Деспотица;на нашата Деспотица;Деспотицата
CountyNobility.Queen;Маркиза;Маркизи;Маркизата;нашата Маркиза;на нашата Маркиза;на нашата Маркиза;Маркизата
GermanNobility.Queen;Кралица;Кралици;Кралицата;нашата Кралица;на нашата Кралица;на нашата Кралица;Кралицата
FrisianNobility.Queen;Дама;Дами;Дамата;нашата Дама;на нашата Дама;на нашата Дама;Дамата
SardinianNobility.Queen;Юдикеса;Юдикеси;Юдикесата;нашата Юдикеса;на нашата Юдикеса;на нашата Юдикеса;Юдикесата
RomanNobility.Queen;Цезариса;Цезариси;Цезарисата;нашата Цезариса;на нашата Цезариса;на нашата Цезариса;Цезарисата
NovgorodianNobility.Queen;Велика княгиня;Велики княгини;Великата княгиня;нашата Велика княгиня;на нашата Велика княгиня;на нашата Велика княгиня;Великата княгиня
PolishNobility.Queen;Старши херцогиня;Старши херцогини;Старши херцогинята;нашата Старши херцогиня;на нашата Старши херцогиня;на нашата Старши херцогиня;Старши херцогинята
KanemNobility.Queen;Кралица;Кралици;Кралицата;нашата Кралица;на нашата Кралица;на нашата Кралица;Кралицата
CrusaderNobility.Queen;Кралица;Кралици;Кралицата;нашата Кралица;на нашата Кралица;на нашата Кралица;Кралицата
KalmarNobility.Queen;Кралица;Кралици;Кралицата;нашата Кралица;на нашата Кралица;на нашата Кралица;Кралицата
LatinNobility.Queen;Императрица;Императрици;Императрицата;нашата Императрица;на нашата Императрица;на нашата Императрица;Императрицата
ExileNobility.Queen;Изгнаничка;Изгнанички;Изгнаничката;нашата Изгнаничка;на нашата Изгнаничка;на нашата Изгнаничка;Изгнаничката
Nobility.Emperor;Император;Императори;Императорът;нашия Император;на нашия Император;на нашия Император;Императора
NordicNobility.Emperor;Император;Императори;Императорът;нашия Император;на нашия Император;на нашия Император;Императора
TribalNobility.Emperor;Император;Императори;Императорът;нашия Император;на нашия Император;на нашия Император;Императора
AllNobility.Emperor;Император;Императори;Императорът;нашия Император;на нашия Император;на нашия Император;Императора
RussNobility.Emperor;Цар;Царе;Царят;нашия Цар;на нашия Цар;на нашия Цар;Царя
SteppeNobility.Emperor;Хаган;Хагани;Хаганът;нашия Хаган;на нашия Хаган;на нашия Хаган;Хагана
TurkNobility.Emperor;Султан;Султани;Султанът;нашия Султан;на нашия Султан;на нашия Султан;Султана
GreekNobility.Emperor;Император;Императори;Императорът;нашия Император;на нашия Император;на нашия Император;Императора
ArabNobility.Emperor;Султан;Султани;Султанът;нашия Султан;на нашия Султан;на нашия Султан;Султана
IranicNobility.Emperor;Шахиншах;Шахиншахове;Шахиншахът;нашия Шахиншах;на нашия Шахиншах;на нашия Шахиншах;Шахиншаха
SlavNobility.Emperor;Цар;Царе;Царят;нашия Цар;на нашия Цар;на нашия Цар;Царя
ItalianNobility.Emperor;Император;Императори;Императорът;нашия Император;на нашия Император;на нашия Император;Императора
GenoeseNobility.Emperor;Император;Императори;Императорът;нашия Император;на нашия Император;на нашия Император;Императора
AfricanNobility.Emperor;Манса;Манси;Мансата;нашия Манса;на нашия Манса;на нашия Манса;Мансаа
BritNobility.Emperor;Крал;Крале;Кралят;нашия Крал;на нашия Крал;на нашия Крал;Краля
OrderNobility.Emperor;Император;Императори;Императорът;нашия Император;на нашия Император;на нашия Император;Императора
BulgarianNobility.Emperor;Цар;Царе;Царят;нашия Цар;на нашия Цар;на нашия Цар;Царя
SharifNobility.Emperor;Халиф;Халифи;Халифът;нашия Халиф;на нашия Халиф;на нашия Халиф;Халифа
BerberNobility.Emperor;Султан;Султани;Султанът;нашия Султан;на нашия Султан;на нашия Султан;Султана
NormanNobility.Emperor;Император;Императори;Императорът;нашия Император;на нашия Император;на нашия Император;Императора
CaucasianNobility.Emperor;Император;Императори;Императорът;нашия Император;на нашия Император;на нашия Император;Императора
HungarianNobility.Emperor;Император;Императори;Императорът;нашия Император;на нашия Император;на нашия Император;Императора
WallachianNobility.Emperor;Цар;Царе;Царят;нашия Цар;на нашия Цар;на нашия Цар;Царя
BalticNobility.Emperor;Крал;Крале;Кралят;нашия Крал;на нашия Крал;на нашия Крал;Краля
OutlawNobility.Emperor;Бунтовник;Бунтовници;Бунтовникът;нашия Бунтовник;на нашия Бунтовник;на нашия Бунтовник;Бунтовника
WelshNobility.Emperor;Император;Императори;Императорът;нашия Император;на нашия Император;на нашия Император;Императора
ScotNobility.Emperor;Император;Императори;Императорът;нашия Император;на нашия Император;на нашия Император;Императора
CatalanNobility.Emperor;Крал;Крале;Кралят;нашия Крал;на нашия Крал;на нашия Крал;Краля
SwissNobility.Emperor;Император;Императори;Императорът;нашия Император;на нашия Император;на нашия Император;Императора
RepublicNobility.Emperor;Император;Императори;Императорът;нашия Император;на нашия Император;на нашия Император;Императора
ZealotNobility.Emperor;Император;Императори;Императорът;нашия Император;на нашия Император;на нашия Император;Императора
CountyNobility.Emperor;Крал;Крале;Кралят;нашия Крал;на нашия Крал;на нашия Крал;Краля
GermanNobility.Emperor;Император;Императори;Императорът;нашия Император;на нашия Император;на нашия Император;Императора
FrisianNobility.Emperor;Император;Императори;Императорът;нашия Император;на нашия Император;на нашия Император;Императора
SardinianNobility.Emperor;Император;Императори;Императорът;нашия Император;на нашия Император;на нашия Император;Императора
RomanNobility.Emperor;Император;Императори;Императорът;нашия Император;на нашия Император;на нашия Император;Императора
NovgorodianNobility.Emperor;Император;Императори;Императорът;нашия Император;на нашия Император;на нашия Император;Императора
PolishNobility.Emperor;Император;Императори;Императорът;нашия Император;на нашия Император;на нашия Император;Императора
KanemNobility.Emperor;Май;Майове;Майът;нашия Май;на нашия Май;на нашия Май;Мая
CrusaderNobility.Emperor;Император;Императори;Императорът;нашия Император;на нашия Император;на нашия Император;Императора
KalmarNobility.Emperor;Крал;Крале;Кралят;нашия Крал;на нашия Крал;на нашия Крал;Краля
LatinNobility.Emperor;Император;Императори;Императорът;нашия Император;на нашия Император;на нашия Император;Императора
ExileNobility.Emperor;Изгнаник;Изгнаници;Изгнаникът;нашия Изгнаник;на нашия Изгнаник;на нашия Изгнаник;Изгнаника
Nobility.Prince;Принц;Принцове;Принцът;нашия Принц;на нашия Принц;на нашия Принц;Принца
NordicNobility.Prince;Принц;Принцове;Принцът;нашия Принц;на нашия Принц;на нашия Принц;Принца
TribalNobility.Prince;Принц;Принцове;Принцът;нашия Принц;на нашия Принц;на нашия Принц;Принца
AllNobility.Prince;Принц;Принцове;Принцът;нашия Принц;на нашия Принц;на нашия Принц;Принца
RussNobility.Prince;Княз;Князе;Князът;нашия Княз;на нашия Княз;на нашия Княз;Княза
SteppeNobility.Prince;Принц;Принцове;Принцът;нашия Принц;на нашия Принц;на нашия Принц;Принца
TurkNobility.Prince;Принц;Принцове;Принцът;нашия Принц;на нашия Принц;на нашия Принц;Принца
GreekNobility.Prince;Принц;Принцове;Принцът;нашия Принц;на нашия Принц;на нашия Принц;Принца
ArabNobility.Prince;Принц;Принцове;Принцът;нашия Принц;на нашия Принц;на нашия Принц;Принца
IranicNobility.Prince;Принц;Принцове;Принцът;нашия Принц;на нашия Принц;на нашия Принц;Принца
SlavNobility.Prince;Принц;Принцове;Принцът;нашия Принц;на нашия Принц;на нашия Принц;Принца
ItalianNobility.Prince;Принц;Принцове;Принцът;нашия Принц;на нашия Принц;на нашия Принц;Принца
GenoeseNobility.Prince;Принц;Принцове;Принцът;нашия Принц;на нашия Принц;на нашия Принц;Принца
AfricanNobility.Prince;Принц;Принцове;Принцът;нашия Принц;на нашия Принц;на нашия Принц;Принца
BritNobility.Prince;Принц;Принцове;Принцът;нашия Принц;на нашия Принц;на нашия Принц;Принца
OrderNobility.Prince;Принц;Принцове;Принцът;нашия Принц;на нашия Принц;на нашия Принц;Принца
BulgarianNobility.Prince;Принц;Принцове;Принцът;нашия Принц;на нашия Принц;на нашия Принц;Принца
SharifNobility.Prince;Принц;Принцове;Принцът;нашия Принц;на нашия Принц;на нашия Принц;Принца
BerberNobility.Prince;Принц;Принцове;Принцът;нашия Принц;на нашия Принц;на нашия Принц;Принца
NormanNobility.Prince;Лорд;Лордове;Лордът;нашия Лорд;на нашия Лорд;на нашия Лорд;Лорда
CaucasianNobility.Prince;Принц;Принцове;Принцът;нашия Принц;на нашия Принц;на нашия Принц;Принца
HungarianNobility.Prince;Принц;Принцове;Принцът;нашия Принц;на нашия Принц;на нашия Принц;Принца
WallachianNobility.Prince;Княз;Князе;Князът;нашия Княз;на нашия Княз;на нашия Княз;Княза
BalticNobility.Prince;Принц;Принцове;Принцът;нашия Принц;на нашия Принц;на нашия Принц;Принца
OutlawNobility.Prince;Бунтовник;Бунтовници;Бунтовникът;нашия Бунтовник;на нашия Бунтовник;на нашия Бунтовник;Бунтовника
WelshNobility.Prince;Принц;Принцове;Принцът;нашия Принц;на нашия Принц;на нашия Принц;Принца
ScotNobility.Prince;Принц;Принцове;Принцът;нашия Принц;на нашия Принц;на нашия Принц;Принца
CatalanNobility.Prince;Княз;Князе;Князът;нашия Княз;на нашия Княз;на нашия Княз;Княза
SwissNobility.Prince;Принц;Принцове;Принцът;нашия Принц;на нашия Принц;на нашия Принц;Принца
RepublicNobility.Prince;Принц;Принцове;Принцът;нашия Принц;на нашия Принц;на нашия Принц;Принца
ZealotNobility.Prince;Принц;Принцове;Принцът;нашия Принц;на нашия Принц;на нашия Принц;Принца
CountyNobility.Prince;Принц;Принцове;Принцът;нашия Принц;на нашия Принц;на нашия Принц;Принца
GermanNobility.Prince;Принц;Принцове;Принцът;нашия Принц;на нашия Принц;на нашия Принц;Принца
FrisianNobility.Prince;Лорд;Лордове;Лордът;нашия Лорд;на нашия Лорд;на нашия Лорд;Лорда
SardinianNobility.Prince;Лорд;Лордове;Лордът;нашия Лорд;на нашия Лорд;на нашия Лорд;Лорда
RomanNobility.Prince;Принц;Принцове;Принцът;нашия Принц;на нашия Принц;на нашия Принц;Принца
NovgorodianNobility.Prince;Княз;Князе;Князът;нашия Княз;на нашия Княз;на нашия Княз;Княза
PolishNobility.Prince;Принц;Принцове;Принцът;нашия Принц;на нашия Принц;на нашия Принц;Принца
KanemNobility.Prince;Принц;Принцове;Принцът;нашия Принц;на нашия Принц;на нашия Принц;Принца
CrusaderNobility.Prince;Лорд;Лордове;Лордът;нашия Лорд;на нашия Лорд;на нашия Лорд;Лорда
KalmarNobility.Prince;Принц;Принцове;Принцът;нашия Принц;на нашия Принц;на нашия Принц;Принца
LatinNobility.Prince;Принц;Принцове;Принцът;нашия Принц;на нашия Принц;на нашия Принц;Принца
ExileNobility.Prince;Изгнаник;Изгнаници;Изгнаникът;нашия Изгнаник;на нашия Изгнаник;на нашия Изгнаник;Изгнаника
