*;base;gen
cn_Antoon.m;Антоон;
cn_Antso.m;Антсо;
cn_Antun.m;Антун;
cn_Anund.m;Анунд;
cn_Anush.m;Ануш;
cn_Anushirvan.m;Ануширван;
cn_Aodh.m;Аодх;
cn_Aoife.f;Аоифе;
cn_Aongus.m;Аонгус;
cn_Aphrasiab.m;Афрасиаб;
cn_Apirat.m;Апират;
cn_Apor.m;Апор;
cn_Appa.m;Аппа;
cn_Apridon.m;Апридон;
cn_Aqsunqur.m;Аксунквр;
cn_Ara.f;Ара;
cn_Ara.m;Ара;
cn_Arabella.f;Арабелла;
cn_Araimfres.m;Араимфрес;
cn_Aralt.m;Аралт;
cn_Arbenita.f;Арбенита;
cn_Arber.m;Арбер;
cn_Arbert.m;Арберт;
cn_Arbois.m;Арбоис;
cn_Archambaud.m;Арчамбауд;
cn_Archibald.m;Арчибалд;
cn_Arcill.m;Аркилл;
cn_Arda.f;Арда;
cn_Ardhal.m;Ардхал;
cn_Ardi.m;Арди;
cn_Ardian.m;Ардиан;
cn_Ardit.m;Ардит;
cn_Ardudfyl.f;Ардудфил;
cn_Arem.m;Арем;
cn_Arghun.m;Аргхун;
cn_Argyra.f;Аргира;
cn_Arian.m;Ариан;
cn_Ariana.f;Ариана;
cn_Arias.m;Ариас;
cn_Arif.m;Ариф;
cn_Arina.f;Арина;
cn_Ariq.m;Арик;
cn_Arishiani.m;Аришиани;
cn_Arjaan.m;Аряан;
cn_Arletta.f;Арлетта;
cn_Arlette.f;Арлетте;
cn_Armanda.f;Арманда;
cn_Armans.m;Арманс;
cn_Armilia.f;Армилиа;
cn_Arnau.m;Арнау;
cn_Arnaud.m;Арнауд;
cn_Arnaut.m;Арнаут;
cn_Arnautz.m;Арнаутз;
cn_Arne.m;Арне;
cn_Arnold.m;Арнолд;
cn_Arnoud.m;Арноуд;
cn_Arnulf.m;Арнулф;
cn_Aron.m;Арон;
cn_Arpa.m;Арпа;
cn_Arpad.m;Арпад;
cn_Arrigo.m;Арриго;
cn_Arsenda.f;Арсенда;
cn_Arsenius.m;Арсениус;
cn_Arshak.m;Аршак;
cn_Arslan.m;Арслан;
cn_Art.m;Арт;
cn_Arta.f;Арта;
cn_Artaud.m;Артауд;
cn_Artaude.f;Артауде;
cn_Artgar.m;Артгар;
cn_Artuq.m;Артук;
cn_Arvid.m;Арвид;
cn_Arwa.f;Аруа;
cn_Arzhur.m;Арзхур;
cn_As_Salih.m;Ас-Салих;
cn_Asa.f;Аса;
cn_Asad.m;Асад;
cn_Asadi.m;Асади;
cn_Asantewa.f;Асантеуа;
cn_Asat.m;Асат;
cn_Asbag.m;Асбаг;
cn_Asbjorn.m;Асбйорн;
cn_Ascall.m;Аскалл;
cn_Asce.m;Аске;
cn_Ascelina.f;Аскелина;
cn_Ascer.m;Аскер;
cn_Asen.m;Асен;
cn_Ashab.m;Ашаб;
cn_Ashot.m;Ашот;
cn_Asim.m;Асим;
cn_Asiya.f;Асия;
cn_Askia.m;Аскиа;
cn_Aslan.m;Аслан;
cn_Asma.f;Асма;
cn_Asmuna.f;Асмуна;
cn_Asomantios.m;Асомантиос;
cn_Aspuraces.m;Аспуракес;
cn_Asser.m;Ассер;
cn_Asti.m;Асти;
cn_Astrid.f;Астрид;
cn_Astvatsatour.m;Астватсатоур;
cn_Asutai.m;Асутаи;
cn_Atha.m;Ата;
cn_Athanasios.m;Атанасиос;
cn_Athanasius.m;Атанасиус;
cn_Athl.f;Атл;
cn_Atikah.f;Атиках;
cn_Atrnerseh.m;Атрнерсех;
cn_Atsiz.m;Атсиз;
cn_Atszis.m;Атсзис;
cn_Attaviano.m;Аттавиано;
cn_Attia.m;Аттиа;
cn_Attila.m;Аттила;
cn_Atyusz.m;Атиусз;
cn_Aubrey.m;Аубреи;
cn_Aucassin.m;Аукассин;
cn_Aude.m;Ауде;
cn_Audiarda.f;Аудиарда;
cn_Audry.m;Аудри;
cn_Audun.m;Аудун;
cn_Augusta.f;Аугуста;
cn_Aurembiaix.f;Аурембиаикс;
cn_Aureo.m;Аурео;
cn_Austin.m;Аустин;
cn_Austorga.f;Аусторга;
cn_Ava.f;Ава;
cn_Avag.m;Аваг;
cn_Avazg.m;Авазг;
cn_Avazg_Sargis.m;Авазг-Саргис;
cn_Avelina.f;Авелина;
cn_Aveline.f;Авелине;
cn_Averardo.m;Аверардо;
cn_Avgaroz.m;Авгароз;
cn_Avice.f;Авике;
cn_Avoice.f;Авоике;
cn_Awais.m;Ауаис;
cn_Awhad.m;Аухад;
cn_Awhar.m;Аухар;
cn_Axel.m;Аксел;
cn_Ayachi.m;Аиачи;
cn_Ayay.m;Аиаи;
cn_Ayba.f;Аиба;
cn_Aydua.f;Аидуа;
cn_Aymer.m;Аимер;
cn_Aymoneta.f;Аимонета;
cn_Aysha.f;Аиша;
cn_Aytekin.m;Аитекин;
cn_Ayyub.m;Аииуб;
cn_Azaria.m;Азариа;
cn_Azemars.m;Аземарс;
cn_Aziz.m;Азиз;
cn_Azizah.f;Азизах;
cn_Aznaro.m;Азнаро;
cn_Azzah.f;Аззах;
cn_Azzo.m;Аззо;
cn_Azzone.m;Аззоне;
cn_Babken.m;Бабкен;
cn_Bachaler.m;Бачалер;
cn_Bachir.m;Бачир;
cn_Badis.m;Бадис;
cn_Badr.m;Бадр;
cn_Baghdad.f;Багхдад;
cn_Bago.m;Баго;
cn_Bagrat.m;Баграт;
cn_Baha.m;Баха;
cn_Bahadur.m;Бахадур;
cn_Bahja.f;Бахя;
cn_Bahmanyar.m;Бахманиар;
cn_Bahr.m;Бахр;
cn_Bahram.m;Бахрам;
cn_Baiamonte.m;Баиамонте;
cn_Baidar.m;Баидар;
cn_Baidu.m;Баиду;
cn_Bainal.m;Баинал;
cn_Baithin.m;Баитин;
cn_Bakr.m;Бакр;
cn_Balafasseke.m;Балафассеке;
cn_Balagha.m;Балагха;
cn_Balc.m;Балк;
cn_Baldewin.m;Балдеуин;
cn_Baldewyn.m;Балдеуин;
cn_Balduin.m;Балдуин;
cn_Baldwin.m;Балдуин;
cn_Balian.m;Балиан;
cn_Balik.m;Балик;
cn_Balk.m;Балк;
cn_Ballaban.m;Баллабан;
cn_Balsha.m;Балша;
cn_Balthasar.m;Балтасар;
cn_Baltramiejus.m;Балтрамиеюс;
cn_Baltu.m;Балту;
cn_Bamari.m;Бамари;
cn_Banafsaj.f;Банафсай;
cn_Banah.f;Банах;
cn_Bancozzo.m;Банкоззо;
cn_Banujah.f;Бануях;
cn_Baptist.m;Баптист;
cn_Barak.m;Барак;
cn_Baram.m;Барам;
cn_Barbara.f;Барбара;
cn_Barbat.m;Барбат;
cn_Bard.m;Бард;
cn_Bardas.m;Бардас;
cn_Bardelone.m;Барделоне;
cn_Bardh.m;Бардх;
cn_Bardis.m;Бардис;
cn_Bardolph.m;Бардолф;
cn_Barira.f;Барира;
cn_Barjuk.m;Барюк;
cn_Barkhakh.m;Баркхакх;
cn_Barlaam.m;Барлаам;
cn_Barnabas.m;Варнава;
cn_Barnaby.m;Барнаби;
cn_Barnim.m;Барним;
cn_Barral.m;Баррал;
cn_Barrale.f;Баррале;
cn_Barsbai.m;Барсбаи;
cn_Barsegh.m;Барсегх;
cn_Barshanbu.m;Баршанбу;
cn_Barshanbu_Seif.m;Баршанбу-Сеиф;
cn_Bartan.m;Бартан;
cn_Bartas.m;Бартас;
cn_Barthel.m;Бартел;
cn_Bartholomew.m;Вартоломей;
cn_Bartolome.m;Бартоломе;
cn_Bartolomeo.m;Бартоломео;
cn_Bartolomeus.m;Бартоломеус;
cn_Basarab.m;Басараб;
cn_Baset.m;Басет;
cn_Basewin.m;Басеуин;
cn_Bashahri.m;Башахри;
cn_Bashar.m;Башар;
cn_Basiel.m;Басиел;
cn_Basileios.m;Басилеиос;
cn_Bastam.m;Бастам;
cn_Basten.m;Бастен;
cn_Bastiano.m;Бастиано;
cn_Batin.m;Батин;
cn_Batiz.m;Батиз;
cn_Battista.m;Баттиста;
cn_Battuta.m;Баттута;
cn_Batu.m;Бату;
cn_Baudouin.m;Баудоуин;
cn_Baudoís.m;Баудоíс;
cn_Baugeid.f;Баугеид;
cn_Baul_Teval.m;Баул-Тевал;
cn_Bausas.m;Баусас;
cn_Bavo.m;Баво;
cn_Bayakachar.m;Баиакачар;
cn_Bayalun.m;Баиалун;
cn_Bayan.m;Баиан;
cn_Bayaohe.m;Баиаохе;
cn_Bayazid.m;Баиазид;
cn_Baybars.m;Баибарс;
cn_Baydu.m;Баиду;
cn_Bayezid.m;Баиезид;
cn_Bayju.m;Баию;
cn_Baylun.f;Баилун;
cn_Bazi.f;Бази;
cn_Beate.f;Беате;
cn_Beatrice.f;Беатрис;
cn_Beatrisona.f;Беатрисона;
cn_Beatrix.f;Беатрикс;
cn_Beatriz.f;Беатриз;
cn_Bedan.m;Бедан;
cn_Bedreddin.m;Бедреддин;
cn_Bedros.m;Бедрос;
cn_Bega.m;Бега;
cn_Beglamish.m;Бегламиш;
cn_Behadur.m;Бехадур;
cn_Behter.m;Бехтер;
cn_Beka.f;Бека;
cn_Beke.m;Беке;
cn_Bektash.m;Бекташ;
cn_Bela.m;Бела;
cn_Belaid.m;Белаид;
cn_Belarot.m;Беларот;
cn_Belaur.m;Белаур;
cn_Beldina.f;Белдина;
cn_Belgun.m;Белгун;
cn_Belgutei.m;Белгутеи;
cn_Beliarde.f;Белиарде;
cn_Belkacem.m;Белкакем;
cn_Bella.f;Белла;
cn_Belo.m;Бело;
cn_Belosh.m;Белош;
cn_Beloslava.f;Белослава;
cn_Beltran.m;Белтран;
cn_Bemon.m;Бемон;
cn_Benedek.m;Бенедек;
cn_Benedetta.f;Бенедетта;
cn_Benedetto.m;Бенедетто;
cn_Benedict.m;Бенедикт;
cn_Benedicta.f;Бенедикта;
cn_Benedykt.m;Бенедикт;
cn_Bengda.f;Бенгда;
cn_Bengjerd.f;Бенгйерд;
cn_Bengt.m;Бенгт;
cn_Benjamin.m;Вениамин;
cn_Bennada.f;Беннада;
cn_Benozzo.m;Беноззо;
cn_Bensa.m;Бенса;
cn_Berchte.f;Берчте;
cn_Berdi.m;Берди;
cn_Berengaria.f;Беренгариа;
cn_Berenger.m;Беренгер;
cn_Berengere.m;Беренгере;
cn_Berengiere.f;Беренгиере;
cn_Berengiers.m;Беренгиерс;
cn_Berenguela.f;Беренгуела;
cn_Berenguer.m;Беренгуер;
cn_Berga.f;Берга;
cn_Berke.m;Берке;
cn_Bermundo.m;Бермундо;
cn_Bern.m;Берн;
cn_Bernaard.m;Бернаард;
cn_Bernabo.m;Бернабо;
cn_Bernadette.f;Бернадетте;
cn_Bernard.m;Бернар;
cn_Bernarda.f;Бернарда;
cn_Bernardo.m;Бернардо;
cn_Bernart.m;Бернарт;
cn_Bernatz.m;Бернатз;
cn_Bernhard.m;Бернхард;
cn_Berold.m;Беролд;
cn_Bersi.m;Берси;
cn_Berta.f;Берта;
cn_Bertha.f;Берта;
cn_Berthold.m;Бертолд;
cn_Berto.m;Берто;
cn_Bertod.f;Бертод;
cn_Bertoldo.m;Бертолдо;
cn_Bertolf.m;Бертолф;
cn_Bertrade.f;Бертраде;
cn_Bertram.m;Бертрам;
cn_Bertrand.m;Бертран;
cn_Bertrand_Rambaud.m;Бертранд-Рамбауд;
cn_Bertranda.f;Бертранда;
cn_Bertrando.m;Бертрандо;
cn_Bertuccio.m;Бертуккио;
cn_Berwicus.m;Беруикус;
cn_Besart.m;Бесарт;
cn_Beshken.m;Бешкен;
cn_Besian.m;Бесиан;
cn_Besjana.f;Бесяна;
cn_Besmir.m;Бесмир;
cn_Besnik.m;Бесник;
cn_Bethoc.f;Беток;
cn_Betto.m;Бетто;
cn_Bevis.m;Бевис;
cn_Beyanjar.m;Беианяр;
cn_Bianca.f;Бианка;
cn_Bikshi.m;Бикши;
cn_Biksys.m;Биксис;
cn_Bilal.m;Билал;
cn_Bilarghu.m;Биларгху;
cn_Bilqis.f;Билкис;
cn_Birger.m;Биргер;
cn_Birgitta.f;Биргитта;
cn_Biri.m;Бири;
cn_Birute.f;Бируте;
cn_Bjadmunjo.f;Бядмунйо;
cn_Bjorn.m;Бйорн;
cn_Bjoulfr.m;Бйоулфр;
cn_Blaive.m;Блаиве;
cn_Blancha.f;Бланча;
cn_Blanche.f;Бланш;
cn_Blanchefleur.f;Бланчефлеур;
cn_Blanka.f;Бланка;
cn_Blasius.m;Бласиус;
cn_Bleddyn.m;Бледдин;
cn_Bledri.m;Бледри;
cn_Bo.m;Бо;
cn_Bodvar.m;Бодвар;
cn_Boedil.f;Боедил;
cn_Bogdan.m;Богдан;
cn_Bogislaw.m;Богислау;
cn_Bogomer.m;Богомер;
cn_Bogomil.m;Богомил;
cn_Boguslaw.m;Богуслау;
cn_Bohemond.m;Боемунд;
cn_Boleslaw.m;Болеслау;
cn_Boleszlav.m;Болесзлав;
cn_Bolja.f;Боля;
cn_Bolko.m;Болко;
cn_Bona.f;Бона;
cn_Bonassias.f;Бонассиас;
cn_Bondone.m;Бондоне;
cn_Boniak.m;Бониак;
cn_Bonidace.m;Бонидаке;
cn_Bonifazio.m;Бонифазио;
cn_Bonmercato.m;Бонмеркато;
cn_Bonne.f;Бонне;
cn_Bono.m;Боно;
cn_Boraqchin.f;Боракчин;
cn_Borcelens.m;Боркеленс;
cn_Borena.m;Борена;
cn_Borghild.f;Боргхилд;
cn_Boric.m;Борик;
cn_Boril.m;Борил;
cn_Borios.m;Бориос;
cn_Boris.m;Борис;
cn_Borisz.m;Борисз;
cn_Borivoj.m;Боривой;
cn_Bornazela.f;Борназела;
cn_Boroldai.m;Боролдаи;
cn_Borrell.m;Боррелл;
cn_Borsa.m;Борса;
cn_Borte.f;Борте;
cn_Bosha.m;Боша;
cn_Boso.m;Босо;
cn_Botille.f;Ботилле;
cn_Botolf.m;Ботолф;
cn_Botso.m;Ботсо;
cn_Botu.m;Боту;
cn_Botvid.m;Ботвид;
cn_Bouchard.m;Боучард;
cn_Bourke.m;Боурке;
cn_Boutovit.m;Боутовит;
cn_Boyan.m;Боиан;
cn_Boyaohe.m;Боиаохе;
cn_Boyna.f;Боина;
cn_Bozena.f;Бозена;
cn_Bozha.m;Бозха;
cn_Bozidar.m;Бозидар;
cn_Bran.m;Бран;
cn_Brancaleone.m;Бранкалеоне;
cn_Brendan.m;Брендан;
cn_Bretislaw.m;Бретислау;
cn_Brian.m;Бриан;
cn_Bridget.f;Бридгет;
cn_Brigi.f;Бриги;
cn_Brigitte.f;Бригитте;
cn_Brinolf.m;Бринолф;
cn_Brkisho.m;Бркишо;
cn_Broccin.m;Броккин;
cn_Brodar.m;Бродар;
cn_Bruna.f;Бруна;
cn_Brunissende.f;Бруниссенде;
cn_Bruno.m;Бруно;
cn_Brunoro.m;Бруноро;
cn_Bryachislav.m;Бриачислав;
cn_Brynhild.f;Бринхилд;
cn_Bucello.m;Букелло;
cn_Budamma.m;Будамма;
cn_Buka.f;Бука;
cn_Bukar.m;Букар;
cn_Bukhtnassar.m;Букхтнассар;
cn_Bulughan.f;Булугхан;
cn_Buqa.m;Бука;
cn_Burdukhan.f;Бурдукхан;
cn_Burga.f;Бурга;
cn_Burgmann.m;Бургманн;
cn_Burgold.m;Бурголд;
cn_Burhan.m;Бурхан;
cn_Buri.m;Бури;
cn_Burislav.m;Бурислав;
cn_Burkhart.m;Буркхарт;
cn_Bursuqi.m;Бурсуки;
cn_Burunild.f;Бурунилд;
cn_Busayid.m;Бусаиид;
cn_Butautas.m;Бутаутас;
cn_Buteikis.m;Бутеикис;
cn_Butigeidis.m;Бутигеидис;
cn_Butvydas.m;Бутвидас;
cn_Buzad.m;Бузад;
cn_Cacasseno.m;Какассено;
cn_Cacht.f;Качт;
cn_Cadarius.m;Кадариус;
cn_Cadell.m;Каделл;
