"ID";"bg"
"Diplomacy.Comment.War.Strong#3";"Ще си платите за наглостта, {plr_kingdom.king}!"
"Diplomacy.Comment.War.Strong#4";"Това ще бъде запомнено като най-голямата дипломатическа грешка на {plr_kingdom}!"
"Diplomacy.Comment.War.Strong#5";"Това е лудост! Когато приключим с вас, от {plr_kingdom} ще остане само пепел."
"Diplomacy.Comment.War.Weak";"Надяваме се, че ще преразгледате, {plr_kingdom.king}. Кровопролитието не е единственият начин!"
"Diplomacy.Comment.War.Weak#2";"Вашите войски ще платят с кръв за всеки сантиметър от нашата територия!"
"Diplomacy.Comment.War.Weak#3";"Не ни подценявайте: Един воин на {kingdom} струва колкото десет ваши!"
"Diplomacy.Comment.War.Weak#4";"Очаквахме това, {plr_kingdom.king}! Ще бъдете запомнен като дивашкия потисник, който сте!"
"Diplomacy.Comment.War.Weak#5";"Добре! Ще защитим нашето кралство, на каквато и да е цена. Никога няма да се предадем!"
"Diplomacy.Comment.War.Weak#6";"Това, което имаме тук, е провал в комуникацията. Някои хора просто не могат да бъдат разбрани... Ще се срещнем на бойното поле, {plr_kingdom.king}."
"Diplomacy.Comment.War.Weak#7";"НЯМАТЕ ли достатъчно земя, {plr_kingdom.king}? Ще платите скъпо, ако армията ви навлезе в {kingdom}."
"Diplomacy.Comment.OfferGold.Neutral";"Златото ви е високо оценено, {plr_kingdom.king}."
"Diplomacy.Comment.OfferGold.Neutral#2";"Вашите монети наистина ще бъдат полезни!"
"Diplomacy.Comment.OfferGold.Neutral#3";"Вашите средства са получени! Този знак за добра воля няма да остане незабелязан от народа на {kingdom}!"
"Diplomacy.Comment.OfferGold.Neutral#4";"Благодарим ви, {plr_kingdom.king}, {offer.gold_amount}{gold_icon} определено ще ни помогнат да се справим с най-спешните ни проблеми."
"Diplomacy.Comment.OfferGold.Strong";"Тази сума ще свърши работа, засега. {plr_kingdom} е малък, но важен приятел на {kingdom}!"
"Diplomacy.Comment.OfferGold.Strong#2";"Благодарни сме. Нещо друго, което искате да ни предложите?"
"Diplomacy.Comment.OfferGold.Strong#3";"Благодарим ви! Плащането на трибут към нас е правилната стъпка към дълготрайно приятелство между {kingdom} и {plr_kingdom}."
"Diplomacy.Comment.OfferGold.Strong#4";"Е, {offer.gold_amount} не е точно трибут, достоен за {kingdom}, но е добро начало!"
"Diplomacy.Comment.OfferGold.Weak";"Почетени сме от вашата щедрост! Златото ви ще бъде използвано разумно."
"Diplomacy.Comment.OfferGold.Weak#2";"Народът на {kingdom} никога няма да забрави вашата подкрепа в тези времена на нужда!"
"Diplomacy.Comment.OfferGold.Weak#3";"Много сме благодарни за вашата любезност, {plr_kingdom.king}."
"Diplomacy.Comment.OfferGold.Weak#4";"Благодарим ви, {kingdom.king} гарантира, че всяка една от тези {offer.gold_amount}{gold_icon} жълтици ще бъде правилно използвана!"
"Diplomacy.Comment.OfferLand.Neutral";"Благодарим ви! Ще управляваме {offer.arg0} разумно."
"Diplomacy.Comment.OfferLand.Neutral#2";"Това е наистина достойно решение! Народът на {offer.arg0} ще процъфтява под нашето управление."
"Diplomacy.Comment.OfferLand.Strong";"С удоволствие ще поемем контрола над {offer.arg0}. Да живее {kingdom}!"
"Diplomacy.Comment.OfferLand.Strong#2";"Само разумно от ваша страна е да видите неизбежния растеж на нашата империя! Докато продължавате да ни подкрепяте, {kingdom} и {plr_kingdom} ще процъфтяват заедно!"
"Diplomacy.Comment.OfferLand.Weak";"{plr_kingdom.king}, Европа рядко е виждала владетел толкова мощен и същевременно толкова скромен като вас! Обединени с {offer.arg0}, ще бъдем по-силен и надежден приятел на {plr_kingdom}!"
"Diplomacy.Comment.OfferLand.Weak#2";"Благодарим ви, че ни позволихте да се обединим с нашите братя от {offer.arg0}. Това дело няма да бъде забравено!"
"Diplomacy.Comment.GrantIndependence.Neutral";"Благодарим ви! Народът на {kingdom} винаги ще помни как сте дали свободата му!"
"Diplomacy.Comment.GrantIndependence.Strong";"Оценяваме вашата добра воля и нашето приятелство ще бъде запазено! Ако не се беше стигнало до свободата на {kingdom}, война щеше да ни сполети!"
"Diplomacy.Comment.GrantIndependence.Weak";"Да живее свободна {kingdom}! Да живее {plr_kingdom.king} Велики!"
"Diplomacy.Comment.PayLoan.Strong";"Добре, вече започвахме да губим търпение!"
"Diplomacy.Comment.PayLoan.Neutral";"Добре. Започвахме да се притесняваме дали планирате да ни върнете парите скоро."
"Diplomacy.Comment.PayLoan.Weak";"Чудесно, благодарим ви! Надяваме се нещата в {plr_kingdom} вече да са по-добре."
"Diplomacy.Comment.BreakMarriage.Strong";"Как се осмелявате! {plr_kingdom} изобщо никога не е заслужавало такава чест, а сега петните името на нашето кралско семейство?!"
"Diplomacy.Comment.BreakMarriage.Neutral";"Това е абсурдно! И да си помислим, че ви считахме за наш роднина."
"Diplomacy.Comment.BreakMarriage.Weak";"Наистина, те не бяха най-страхотните съпруг и съпруга, но разтрогването на този брак все пак е позорно деяние!"
"Diplomacy.Accept.Neutral";"Да, това изглежда като добро предложение."
"Diplomacy.Accept.Strong";"Това изглежда като приемлива оферта."
"Diplomacy.Accept.Weak";"Радваме се да приемем вашето предложение!"
"Diplomacy.Accept.Peace.Neutral";"Да, нека сложим край на тази изтощителна и безсмислена война!"
"Diplomacy.Accept.Peace.Neutral#2";"Нека подпишем мирния договор днес и се уверим, че ще продължи дълго в бъдеще!"
"Diplomacy.Accept.Peace.Neutral#3";"Народите на {kingdom} и {plr_kingdom} отдавна копнеят за мир! Нека сложим край на тези кръвопролития!"
"Diplomacy.Accept.Peace.Neutral#4";"Приемаме вашето предложение за мир. Надяваме се, че ще държите на думата си, {plr_kingdom.king}."
"Diplomacy.Accept.Peace.Strong";"Ще ви пощадим този път, но ще следим всяко ваше движение. Не разочаровайте {kingdom} отново!"
"Diplomacy.Accept.Peace.Strong#2";"Помнете този ден, {plr_kingdom.king}! Гледаме на вас от високо. Уверете се, че няма да съжаляваме, че сме ви показали милост."
"Diplomacy.Accept.Peace.Strong#3";"{plr_kingdom} е късметлия, че войната с вас не е приоритет за могъщото кралство {kingdom}! Нека подпишем договора и да сложим край на тази война."
"Diplomacy.Accept.Peace.Weak";"Възхваляваме вашата милост, {plr_kingdom.king}! Няма да съжалявате за този мирен договор между нашите кралства."
"Diplomacy.Accept.Peace.Weak#2";"Мирът между {kingdom} и {plr_kingdom} е единственият правилен път за нашите кралства, което {plr_kingdom.king} има мъдростта да види!"
"Diplomacy.Accept.Peace.Weak#3";"Приемаме! Дано това сложи край на омразата между {plr_kingdom} и {kingdom} завинаги и мирът да процъфтява!"
"Diplomacy.Accept.PeaceOfferred.Neutral";"Това изглежда като приемлива компенсация за щетите, които вашите действия причиниха на {kingdom}. Приемаме вашето предложение за мир!"
"Diplomacy.Accept.PeaceOfferred.Neutral#2";"Тези условия са честни и {kingdom} не желае тази война повече от {plr_kingdom}. Нека бъде мир!"
"Diplomacy.Accept.PeaceOfferred.Neutral#3";"Ще прекратим тази война, но знайте, че нашите армии ще бъдат в готовност, ако някога предадете нашето доверие или потърсите отмъщение!"
"Diplomacy.Accept.PeaceOfferred.Strong";"Съгласни сме, {plr_kingdom.king}! Сега просто коленичете и целунете ръката на {kingdom.king:s} и ще имаме мир."
"Diplomacy.Accept.PeaceOfferred.Strong#2";"Приемаме вашата капитулация и очакваме пълното ви подчинение оттук нататък, {plr_kingdom.king}. Ако някога ни се противопоставите, няма да покажем милост отново!"
"Diplomacy.Accept.PeaceOfferred.Strong#3";"Най-после разбрахте, че няма срам в това да признаете очевидното превъзходство на {kingdom}! Приемаме вашите условия."
"Diplomacy.Accept.PeaceOfferred.Strong#4";"Приемаме вашето предложение, {plr_kingdom.king}. Най-после си знаете мястото."
"Diplomacy.Accept.PeaceOfferred.Weak";"Достойно е да признаете поражението си, {plr_kingdom.king}! Ще сключим мир с {plr_kingdom}!"
"Diplomacy.Accept.PeaceOfferred.Weak#2";"Изисква се истинска сила и мъдрост, за да преклоните глава, {plr_kingdom.king}. Приемаме условията, които предложихте!"
"Diplomacy.Accept.PeaceOfferred.Weak#3";"{kingdom.king} намира вашите условия за добри и честни. Готови сме да подпишем мирния договор!"
"Diplomacy.Accept.PeaceDemanded.Neutral";"Не можем да отречем победата ви и предложените условия изглеждат честни. Нека бъде мир!"
"Diplomacy.Accept.PeaceDemanded.Neutral#2";"Алчно предложение, но такова, което трябва да приемем все пак! Ще получите това, което искате, но никога не очаквайте симпатията на нашия народ."
"Diplomacy.Accept.PeaceDemanded.Neutral#3";"{kingdom.king} ще приеме вашето предложение, но само ако можете да гарантирате безопасността на кралското семейство."
"Diplomacy.Accept.PeaceDemanded.Strong";"Този път {plr_kingdom} имаше късмета да ни удари в гръб в труден момент за {kingdom}. Принудени сме да приемем вашите условия."
"Diplomacy.Accept.PeaceDemanded.Strong#2";"Ще подпишем този договор, {plr_kingdom.king}, но не се хвалете и не разгласявайте подробностите."
"Diplomacy.Accept.PeaceDemanded.Strong#3";"Денят, в който {kingdom} трябва да коленичи пред {plr_kingdom}, е наистина мрачен за нас, но наистина той настъпи."
"Diplomacy.Accept.PeaceDemanded.Weak";"Коленичим пред вас, {plr_kingdom.king}. Приемаме вашите условия."
"Diplomacy.Accept.PeaceDemanded.Weak#2";"Тези условия са позорни и несправедливи, но все пак сме принудени да ги приемем."
"Diplomacy.Accept.PeaceDemanded.Weak#3";"Молим за вашата милост, {plr_kingdom.king}. Приемаме вашите условия, само пощадете нашата аристокрация и нашия народ!"
"Diplomacy.Accept.Trade.Neutral";"Приветстваме вашето предложение за търговия, {plr_kingdom.king}."
"Diplomacy.Accept.Trade.Neutral#2";"Да, търгуването с {plr_kingdom} изглежда като добра възможност."
"Diplomacy.Accept.Trade.Neutral#3";"Чудесно, приемаме! Нека нашите търговци намерят най-добрите стоки за размяна между нашите кралства възможно най-скоро."
"Diplomacy.Accept.Trade.Neutral#4";"Тъкмо щяхме сами да предложим търговия. Разбира се, съгласни сме!"
"Diplomacy.Accept.Trade.Strong";"Ще приемем вашите търговци, {plr_kingdom.king}, но под нашия строг надзор."
"Diplomacy.Accept.Trade.Strong#2";"Съгласни сме, {plr_kingdom} изглежда като малък, но важен партньор на {kingdom}."
"Diplomacy.Accept.Trade.Strong#3";"Добре. Търгуването с {plr_kingdom} може да се окаже полезно за нашата икономика."
"Diplomacy.Accept.Trade.Strong#4";"Ще ви предоставим възможността да търгувате с нашето кралство, {plr_kingdom.king}."
"Diplomacy.Accept.Trade.Strong#5";"Ще приемем това търговско споразумение, {plr_kingdom.king}, но имайте предвид, че очакваме най-добрите цени, които вашето кралство може да предложи."
"Diplomacy.Accept.Trade.Weak";"За нас би било чест да търгуваме с вашето кралство, {plr_kingdom.king}!"
"Diplomacy.Accept.Trade.Weak#2";"Прекрасно предложение, кралю {plr_kingdom.king}! Приемаме вашето предложение за търговия."
"Diplomacy.Accept.Trade.Weak#3";"Няма да съжалявате за това, {plr_kingdom.king}. {kingdom} разполага с най-добрите стоки, които може да ви предложи."
"Diplomacy.Accept.Trade.Weak#4";"Благодарим за вашето доверие и любезно предложение. С удоволствие се съгласяваме и ще откриете, че нашите търговци предлагат най-честните цени от всички."
"Diplomacy.Accept.Trade.Weak#5";"Съгласни сме, търгуването между {plr_kingdom.king} и {kingdom} е страхотна възможност и за двете ни кралства! Можете да очаквате нашите най-добри цени!"
"Diplomacy.Accept.NonAggression.Neutral";"Да, прекратяването на агресията с {plr_kingdom} ще бъде от полза за нашия народ."
"Diplomacy.Accept.NonAggression.Neutral#2";"Съгласни сме, пактът за ненападение ще бъде първата стъпка към подобряване на нашите отношения."
"Diplomacy.Accept.NonAggression.Neutral#3";"Нека подпишем споразумението, дългият мир и стабилността в региона са това, което и ние искаме."
"Diplomacy.Accept.NonAggression.Strong";"Съгласни сме, {plr_kingdom.king}. Няма да ви атакуваме."
"Diplomacy.Accept.NonAggression.Strong#2";"{plr_kingdom} има нашето благоволение. Просто се уверете, че тилът ни е защитен и няма да ви атакуваме."
"Diplomacy.Accept.NonAggression.Strong#3";"Имате нашето съчувствие засега и война с {plr_kingdom} не е желана от нас. Всяка измама от ваша страна обаче може да ни накара да размислим!"
"Diplomacy.Accept.NonAggression.Weak";"Нашият народ е възхитен от перспективата да избегне враждебни действия с {plr_kingdom}!"
"Diplomacy.Accept.NonAggression.Weak#2";"Приемаме без колебание! Не трябва да се тревожите повече за каквато и да е агресия от страна на {kingdom}."
"Diplomacy.Accept.NonAggression.Weak#3";"Нямаме съмнение, че война между {plr_kingdom} и {kingdom} така или иначе не е била обмисляна в този момент, но официалното ѝ потвърждаване е добра идея!"
"Diplomacy.Accept.Alliance.Neutral";"Съюз между {kingdom} и {plr_kingdom} изглежда полезен."
"Diplomacy.Accept.Alliance.Neutral#2";"Ще се съюзим с {plr_kingdom}! Това изглежда като началото на едно плодотворно приятелство."
"Diplomacy.Accept.Alliance.Strong";"Обединяването на силите с {plr_kingdom} е стъпка, която нашите военни лидери одобряват. Приемаме!"
"Diplomacy.Accept.Alliance.Strong#2";"Нека съюзът бъде сключен! Разчитаме на {plr_kingdom} да подкрепи нашето велико кралство по време на война!"
"Diplomacy.Accept.Alliance.Weak";"За кралство {kingdom} би било чест да счита {plr_kingdom} за свой съюзник!"
"Diplomacy.Accept.Alliance.Weak#2";"Приемаме и ви благодарим за доверието. Нашите врагове ще треперят пред обединената мощ на нашите армии!"
"Diplomacy.Accept.Marriage.Neutral";"Тази сватба ще бъде символ на нашето приятелство. Нека бракът на {offer.arg0} и {offer.arg1:s} бъде благословен!"
"Diplomacy.Accept.Marriage.Strong";"С кръвната връзка между нас, никой не би могъл да се противопостави на нашия съюз. Нека {offer.arg0} и {offer.arg1} имат дълъг и плодотворен брак!"
"Diplomacy.Accept.Marriage.Weak";"Това е чест за нас! Нека {offer.arg0} и {offer.arg1} бъдат благословени с радост и много потомство!"
"Diplomacy.Accept.DemandGold.Neutral";"Ще ви снабдим с необходимото злато."
"Diplomacy.Accept.DemandGold.Neutral#2";"Добре, ще ви помогнем с малко жълтици, но не забравяйте да ни върнете услугата."
"Diplomacy.Accept.DemandGold.Neutral#3";"Не можете ли да минете и с по-малко?{p}Добре, добре, ще ви помогнем, но дано скоро не поискате още."
"Diplomacy.Accept.DemandGold.Neutral#4";"Да, ще помогнем – знаете, че можете да разчитате на нас в трудни моменти. Можем да ви предложим и някои финансови съвети, ако имате нужда."
"Diplomacy.Accept.DemandGold.Strong";"Ще ви дадем златото, но имайте предвид, че {kingdom} няма да ви финансира вечно."
"Diplomacy.Accept.DemandGold.Strong#2";"Добре, ще ви помогнем, {plr_kingdom.king}. Просто помислете как можете да върнете услугата навреме."
"Diplomacy.Accept.DemandGold.Strong#3";"Ще ви помогнем, но си оправете финансите, {plr_kingdom.king}!"
"Diplomacy.Accept.DemandGold.Weak";"Ще ви помогнем с каквото можем, въпреки че тази сума е значителна за нас."
"Diplomacy.Accept.DemandGold.Weak#2";"Може да се наложи да наложим по-високи данъци на нашия народ, но ще получите златото си."
"Diplomacy.Accept.DemandGold.Weak#3";"Няма ли {plr_kingdom} по-големи приятели, към които да се обърне за финансова помощ? Ще помогнем този път, но такива суми ни притесняват."
"Diplomacy.Accept.DemandLand.Neutral";"Ще зачислим това владение на ваша служба."
"Diplomacy.Accept.DemandLand.Strong";"Ще се откажем от властта си над тази земя. Управлявайте я мъдро."
"Diplomacy.Accept.DemandLand.Weak";"Радваме се, че владетел като вас ще ръководи това владение. Ще го предадем незабавно."
"Diplomacy.Accept.DemandAttackKingdom.Neutral";"Съгласни сме! Тези паразити бяха твърде дразнещи и за нас!"
"Diplomacy.Accept.DemandAttackKingdom.Neutral#2";"Наистина, с удоволствие ще нахлуем в {offer.arg0}. Прав сте, че те не заслужават да съществуват."
"Diplomacy.Accept.DemandAttackKingdom.Neutral#3";"Да нахлуем при тези свине, {offer.arg0:ians}? Е, тъкмо планирахме да го направим!"
"Diplomacy.Accept.DemandAttackKingdom.Strong";"Като голяма услуга към вашето малко, но почтено кралство, {plr_kingdom.king}, ние се съгласяваме да атакуваме {offer.arg0}!"
"Diplomacy.Accept.DemandAttackKingdom.Strong#2";"Нашите войски скоро ще бъдат на път. {offer.arg0} ще бъде съкрушено!"
"Diplomacy.Accept.DemandAttackKingdom.Weak";"С удоволствие ще направим каквото пожелаете и нашите войски, колкото и малко да са те, ще маршируват срещу тези, които {plr_kingdom.king} не харесва!"
"Diplomacy.Accept.DemandAttackKingdom.Weak#2";"{offer.arg0} ще трепери пред смелите воини на {kingdom}! На оръжие, мъже!"
"Diplomacy.Accept.InvokeAlliance.Neutral";"Считайте нашите армии на ваше разположение, {plr_kingdom.king}. Ще атакуваме!"
"Diplomacy.Accept.InvokeAlliance.Neutral#2";"Имате нашата подкрепа, {plr_kingdom.king}. {offer.arg0} ще падне пред нашата мощ!"
"Diplomacy.Accept.InvokeAlliance.Neutral#3";"Този въпрос трябваше да бъде решен с дипломация. Все пак, няма да ви разочароваме."
"Diplomacy.Accept.InvokeAlliance.Neutral#4";"Нашият дълг като съюзници ни обвързва да изпълним вашето искане. На война!"
"Diplomacy.Accept.InvokeAlliance.Strong";"Отново ли имате проблеми? Не се притеснявайте, ще нападнат земите на {offer.arg0:s}, за да ви помогнем!"
"Diplomacy.Accept.InvokeAlliance.Strong#2";"Добро предложение, {plr_kingdom.king}, справянето с тази заплаха е необходимост. Скоро ще изпратим войски."
"Diplomacy.Accept.InvokeAlliance.Strong#3";"Вашите дипломатически умения са плачевни, {plr_kingdom.king}, но ние ще се бием с вас срещу {offer.arg0}."
"Diplomacy.Accept.InvokeAlliance.Weak";"Както обещахме, няма да останете разочаровани от нас. Нашите мечове са ваши!"
"Diplomacy.Accept.InvokeAlliance.Weak#2";"Крайно време беше да тръгнем срещу тези хлебарки! Искаме да видим градовете им да горят!"
"Diplomacy.Accept.InvokeAlliance.Weak#3";"Сигурен ли сте, {plr_kingdom.king}? Имаме лошо предчувствие за това, но ще ви помогнем."
